element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Sr,3,"=""9000.000""","=""0.030""","=""9000.001""","=""0.020""","=""6""","=""""",,"=""33.346910""","=""34.724134""","=""4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""4p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""",,"=""""","=""L1771""",
Ag,2,"=""9001.362""","=""0.018""","=""9001.360""","=""0.011""","=""2900""","=""2.9e+07""",C,"=""14.99107881""","=""16.3680948""","=""4d9.(2D<5/2>).6s""","=""2[5/2]""","=""2""","=""4d9.(2D<5/2>).6p""","=""2[7/2]*""","=""3""",,"=""T9142""","=""L17886c114""",
Cu,2,"=""9001.419""","=""0.008""","=""9001.428""","=""0.005""","=""25""","=""""",,"=""17.5727981""","=""18.9498038""","=""3d9.(2D<3/2>).6p""","=""2[3/2]*""","=""1""","=""3d9.(2D<3/2>).8s""","=""2[3/2]""","=""2""",,"=""""","=""L869c171""",
Ar,2,"=""9001.77""","=""0.02""","=""9001.7615""","=""0.0006""","=""0""","=""""",,"=""22.83687165""","=""24.21382629""","=""3s2.3p4.(3P).4d""","=""4D""","=""1/2""","=""3s2.3p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L14821""",
Se,1,"=""9001.97""","=""0.10""","=""""","=""""","=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2647""",
V,1,"=""9003.08""","=""0.06""","=""9003.0894""","=""0.0014""","=""8300""","=""""",,"=""1.86948173""","=""3.24623326""","=""3d4.(3P2).4s""","=""b 4P""","=""1/2""","=""3d4.(5D).4p""","=""y 4D*""","=""1/2""",,"=""""","=""L14162""",
Pt,1,"=""9004.06""","=""0.03""","=""9004.034""","=""0.003""","=""470h""","=""""",,"=""6.04786551""","=""7.4244726""","=""5d8.6s.(4F).6p""","=""a 3D*""","=""3""","=""5d9.6d""","=""3F""","=""4""",,"=""""","=""L17515c164""",
Rb,2,"=""9004.338""","=""0.010""","=""""","=""""","=""5u""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2590""",
Te,1,"=""9004.368""","=""0.004""","=""9004.369""","=""0.006""","=""1400""","=""""",,"=""5.4866727""","=""6.8632286""","=""5p3.(4S*).6s""","=""5S*""","=""2""","=""5p3.(4S*).6p""","=""3P""","=""1""",,"=""""","=""L3682""",
Hf,1,"=""9004.740""","=""0.015""","=""9004.7395""","=""0.0024""","=""1900""","=""""",,"=""1.7472218""","=""3.12372100""","=""5d3.(b 4F).6s""","=""a 5F""","=""1""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""1""",,"=""""","=""L16323""",
Np,1,"=""9004.75""","=""0.10""","=""""","=""""","=""1000s""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3793""",
W,1,"=""9005.61""","=""0.10""","=""9005.579""","=""0.073""","=""1""","=""""",,"=""4.571838""","=""5.948209""","=""""","=""*""","=""3""","=""5d4.6s.(6D).7s""","=""7D""","=""4""",,"=""""","=""L153""",
Fr,1,"=""9005.72""","=""0.05""","=""9005.73""","=""0.05""","=""""","=""7.31e+04""",,"=""2.447446""","=""3.823794""","=""8s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""1/2""",,"=""T6898""","=""L12264""",
Cu,2,"=""9005.757""","=""0.008""","=""9005.754""","=""0.004""","=""4300""","=""2.5e+06""",D+,"=""16.9955295""","=""18.37187365""","=""3d8.(3F).4s.4p.(1P*)""","=""3G*""","=""3""","=""3d9.(2D<3/2>).5g""","=""2[9/2]""","=""4""",,"=""T9697""","=""L869c171""",
Kr,2,"=""9006.15""","=""0.10""","=""9006.14+""","=""0.08""","=""10""","=""""",,"=""16.228719""","=""17.6050048""","=""4s2.4p4.(3P).4d""","=""4P""","=""1/2""","=""4s2.4p4.(3P).5p""","=""2D*""","=""3/2""",,"=""""","=""L7386""",
F,1,"=""9006.19""","=""0.03""","=""9006.18+""","=""0.11""","=""500""","=""2.85e+06""",C,"=""14.504588""","=""15.880867""","=""2s2.2p4.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p4.(3P).3d""","=""4D""","=""5/2""",,"=""T7043""","=""L7481""",
Np,1,"=""9006.31""","=""0.10""","=""""","=""""","=""1000l""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3793""",
Fe,1,"=""9006.763""","=""0.016""","=""9006.7589""","=""0.0018""","=""155bl*""","=""""",,"=""5.34836675""","=""6.72455738""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""3""","=""3d7.(4F).4d""","=""e 5H""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""9006.763""","=""0.016""","=""9006.7670""","=""0.0011""","=""155bl*""","=""""",,"=""4.98804995""","=""6.36423934""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""2""",,"=""""","=""L11631""",
W,1,"=""9007.55""","=""0.10""","=""9007.656""","=""0.073""","=""1""","=""""",,"=""4.127657""","=""5.503711""","=""5d5.(2I).6s""","=""1I""","=""6""","=""""","=""*""","=""6""",,"=""""","=""L153""",
Ar,2,"=""9007.90""","=""0.02""","=""9007.8745""","=""0.0003""","=""0.5""","=""""",,"=""21.42648951""","=""22.802509716""","=""3s2.3p4.(1D).4p""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""1/2""",,"=""""","=""L14821""",
Ti,2,"=""9008.078""","=""0.003""","=""9008.074""","=""0.003""","=""24""","=""""",,"=""8.92195655""","=""10.2979463""","=""3d2.(3F).5p""","=""4F*""","=""7/2""","=""3d2.(3F).6s""","=""4F""","=""7/2""",,"=""""","=""u37""",
Fe,1,"=""9008.4115""","=""0.0024""","=""9008.4121""","=""0.0011""","=""112""","=""""",,"=""5.06740926""","=""6.44334733""","=""3d8""","=""3P""","=""2""","=""3d7.(2P).4p""","=""u 3D*""","=""3""",,"=""""","=""L11631""",
Ar,2,"=""9008.4569""","=""0.0002""","=""9008.45652""","=""0.00025""","=""87""","=""""",,"=""23.620386781""","=""24.996318074""","=""3s2.3p4.(3P).5p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).5d""","=""2F""","=""7/2""",,"=""""","=""L11520""",
Co,2,"=""9009.382""","=""0.003""","=""9009.3806""","=""0.0024""","=""29""","=""1.8e+07""",C+,"=""10.48743503""","=""11.8632252""","=""3d7.(4F).5s""","=""e 5F""","=""4""","=""3d7.(4F).5p""","=""5D*""","=""3""",,"=""T6999""","=""L9429c118""",
Cr,2,"=""9009.460""","=""0.004""","=""9009.463""","=""0.003""","=""3""","=""""",,"=""11.6548237""","=""13.03060135""","=""3d4.(5D).5p""","=""6P*""","=""3/2""","=""3d4.(5D).6s""","=""6D""","=""1/2""",,"=""""","=""L18847""",
W,1,"=""9009.73""","=""0.10""","=""9009.735""","=""0.073""","=""1""","=""""",,"=""2.194667""","=""3.570403""","=""5d4.6s2""","=""3F2""","=""3""","=""5d4.6s.(6D).6p""","=""7D*""","=""4""",,"=""""","=""L153""",
Cr,1,"=""9009.8337""","=""0.0008""","=""9009.8345""","=""0.0004""","=""3600""","=""""",,"=""3.32122225""","=""4.69694311""","=""3d5.(6S).4p""","=""z 5P*""","=""3""","=""3d5.(6S).5s""","=""e 5S""","=""2""",,"=""""","=""L14866""",
Th,1,"=""9009.8827""","=""0.0005""","=""9009.88261""","=""0.00009""","=""440""","=""""",,"=""2.151700954""","=""3.527414465""","=""5f.6d.7s2""","=""3D*""","=""1""","=""""","=""""","=""1""",,"=""""","=""L14361""",
Fe,2,"=""9010.038""","=""0.002""","=""9010.0270""","=""0.0008""","=""6bl(Fe II)*""","=""""",,"=""12.7563835""","=""14.1320750""","=""3d6.(5D<4>).4f""","=""2[4]*""","=""7/2""","=""3d6.(5D<1>).5g""","=""2[3]""","=""7/2""",,"=""""","=""L18349c148""",
Fe,2,"=""9010.038""","=""0.002""","=""9010.0400""","=""0.0008""","=""6bl(Fe II)*""","=""1.6e+04""",D,"=""12.3455088""","=""13.7211983""","=""3d6.(3F2).5s""","=""f 4F""","=""9/2""","=""3d6.(3H).5p""","=""2H*""","=""11/2""",,"=""T6892c83""","=""L18349c148""",
W,1,"=""9010.34""","=""0.10""","=""9010.368""","=""0.073""","=""1""","=""""",,"=""4.743561""","=""6.119200""","=""""","=""*""","=""4""","=""5d4.6s.(6D).7s""","=""7D""","=""5""",,"=""""","=""L153""",
Fe,1,"=""9010.5940""","=""0.0024""","=""9010.5922""","=""0.0011""","=""650""","=""1.83e+04""",C+,"=""2.60850194""","=""3.98410712""","=""3d6.4s2""","=""b 3F2""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""",,"=""T5720""","=""L11631""",
Ne,2,"=""9010.993""","=""0.020""","=""9011.005""","=""0.004""","=""100""","=""""",,"=""38.0243755""","=""39.3999177""","=""2s2.2p4.(1D).3d""","=""2F""","=""5/2""","=""2s2.2p4.(1D).4p""","=""2D*""","=""3/2""",,"=""""","=""L1406""",
Th,1,"=""9011.5149""","=""0.0017""","=""9011.51508""","=""0.00008""","=""83""","=""""",,"=""1.622774763""","=""2.998239060""","=""6d3.(2G).7s""","=""3G""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
Ne,2,"=""9011.624""","=""0.020""","=""9011.611""","=""0.003""","=""120""","=""""",,"=""38.0244230""","=""39.3998727""","=""2s2.2p4.(1D).3d""","=""2F""","=""7/2""","=""2s2.2p4.(1D).4p""","=""2D*""","=""5/2""",,"=""""","=""L1406""",
Fe,1,"=""9012.0740""","=""0.0024""","=""9012.0754""","=""0.0011""","=""1580""","=""4.46e+06""",C,"=""4.99127081""","=""6.36664959""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""5""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""4""",,"=""T5720""","=""L11631""",
Pt,1,"=""9012.39""","=""0.03""","=""9012.380""","=""0.003""","=""390h""","=""""",,"=""6.04786551""","=""7.4231978""","=""5d8.6s.(4F).6p""","=""a 3D*""","=""3""","=""5d9.6d""","=""1F""","=""3""",,"=""""","=""L17515c164""",
Th,1,"=""9012.52579""","=""0.00024""","=""9012.52581""","=""0.00011""","=""740""","=""""",,"=""2.233126549""","=""3.60843659""","=""5f.6d2.7s""","=""5H*""","=""5""","=""6d4""","=""3G""","=""4""",,"=""""","=""L18702""",
Th,1,"=""9013.581""","=""0.008""","=""9013.58597""","=""0.00014""","=""46""","=""""",,"=""1.980039530""","=""3.35518781""","=""6d3.(2D2).7s""","=""""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L3552""",
Th,1,"=""9013.9744""","=""0.0016""","=""9013.97497""","=""0.00012""","=""97*""","=""""",,"=""2.226743183""","=""3.601832121""","=""6d3.(4F).7s""","=""3F""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L5951""",
Th,1,"=""9013.9744""","=""0.0016""","=""9013.97521""","=""0.00025""","=""97*""","=""""",,"=""3.185212758""","=""4.56030166""","=""""","=""*""","=""5""","=""""","=""""","=""5""",,"=""""","=""L5951""",
Fe,1,"=""9013.9770""","=""0.0024""","=""9013.9768""","=""0.0011""","=""132""","=""""",,"=""2.27860466""","=""3.65369332""","=""3d6.4s2""","=""a 3P2""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5P*""","=""2""",,"=""""","=""L11631""",
Th,1,"=""9014.3612""","=""0.0024""","=""9014.3606""","=""0.0006""","=""49""","=""""",,"=""3.468044929""","=""4.84307504""","=""6d4""","=""3H""","=""6""","=""""","=""*""","=""5""",,"=""""","=""L5951""",
Ar,2,"=""9014.938""","=""0.010""","=""9014.9353""","=""0.0011""","=""1""","=""""",,"=""22.83687165""","=""24.21181411""","=""3s2.3p4.(3P).4d""","=""4D""","=""1/2""","=""3s2.3p4.(3P<2>).4f""","=""2[1]*""","=""1/2""",,"=""""","=""L14821""",
Cu,2,"=""9015.187""","=""0.009""","=""9015.144""","=""0.004""","=""310""","=""""",,"=""16.9955295""","=""18.37044013""","=""3d8.(3F).4s.4p.(1P*)""","=""3G*""","=""3""","=""3d9.(2D<3/2>).5g""","=""2[7/2]""","=""4""",,"=""""","=""L869c171,c169,c153""",
H,1,"=""9015.3""","=""1.0""","=""9014.910""","=""0.007""","=""(4800)""","=""5.1558e+04""",AAA,"=""12.0875052""","=""13.46245155""","=""3""","=""""","=""""","=""10""","=""""","=""""",,"=""T8637""","=""L7389""",
Fe,2,"=""9015.9899""","=""0.0004""","=""9015.9904""","=""0.0007""","=""160""","=""""",,"=""12.4594232""","=""13.8342047""","=""3d6.(3F2).5s""","=""e 2F""","=""7/2""","=""3d6.(3F2).5p""","=""2F*""","=""7/2""",,"=""""","=""L18349c139""",
Mg,1,"=""9016.01""","=""0.10""","=""9015.98""","=""0.10""","=""6""","=""""",,"=""6.1182146""","=""7.4929973""","=""3s.4p""","=""1P*""","=""1""","=""3s.10d""","=""1D""","=""2""",,"=""""","=""L4832""",
Ti,2,"=""9016.034""","=""0.007""","=""9016.032""","=""0.004""","=""13""","=""""",,"=""8.90528793""","=""10.2800631""","=""3d2.(3F).5p""","=""4F*""","=""5/2""","=""3d2.(3F).6s""","=""4F""","=""5/2""",,"=""""","=""u37""",
Np,1,"=""9016.18""","=""0.10""","=""""","=""""","=""10000l""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3793""",
Th,1,"=""9016.58987""","=""0.00008""","=""9016.58988""","=""0.00006""","=""2400""","=""""",,"=""1.501989980""","=""2.876680128""","=""5f.6d.7s2""","=""1D*""","=""2""","=""5f.6d.7s.7p""","=""5G""","=""3""",,"=""""","=""L18702""",
Fe,2,"=""9016.840""","=""0.009""","=""9016.8402""","=""0.0008""","=""2.7""","=""""",,"=""12.8550633""","=""14.2297153""","=""3d6.(5D).5d""","=""4F""","=""9/2""","=""3d6.(3G).5p""","=""2H*""","=""9/2""",,"=""""","=""L18349c139""",
F,1,"=""9016.85""","=""""","=""9016.85+""","=""0.12""","=""300:""","=""2.33e+06""",C,"=""13.025319""","=""14.399969""","=""2s2.2p4.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p4.(3P).3p""","=""4P*""","=""1/2""",,"=""T7043""","=""L20603""",
Cr,1,"=""9016.9898""","=""0.0008""","=""9016.9899""","=""0.0004""","=""2500""","=""""",,"=""3.32231395""","=""4.69694311""","=""3d5.(6S).4p""","=""z 5P*""","=""2""","=""3d5.(6S).5s""","=""e 5S""","=""2""",,"=""""","=""L14866""",
Ti,3,"=""9017.10""","=""0.10""","=""9017.07+""","=""0.12""","=""3""","=""1.5e+07""",D,"=""19.844278""","=""21.218895""","=""3p6.3d.4f""","=""1H*""","=""5""","=""3p6.3d.5d""","=""1G""","=""4""",,"=""T1216""","=""L3593""",
Ar,2,"=""9017.5916""","=""0.0002""","=""9017.59146""","=""0.00025""","=""102""","=""""",,"=""18.426549103""","=""19.801086565""","=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""","=""3s2.3p4.(3P).4p""","=""2P*""","=""1/2""",,"=""""","=""L11520""",
Xe,2,"=""9017.8""","=""1.0""","=""9017.34+""","=""0.12""","=""1""","=""""",,"=""16.024758""","=""17.399334""","=""5s2.5p4.(1S<0>).6s""","=""2[0]""","=""1/2""","=""5s2.5p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L6925""",
W,1,"=""9017.84""","=""0.10""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Si,4,"=""9018.16""","=""0.10""","=""9018.14""","=""0.10""","=""1w""","=""4.17e+07""",A,"=""32.907632""","=""34.282086""","=""2p6.5s""","=""2S""","=""1/2""","=""2p6.5p""","=""2P*""","=""1/2""",,"=""c33""","=""L6098""",
Rb,2,"=""9018.178""","=""0.010""","=""""","=""""","=""3h""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2590""",
Ar,2,"=""9018.22""","=""0.02""","=""9018.1995""","=""0.0003""","=""0.5""","=""""",,"=""22.78797918""","=""24.16242396""","=""3s2.3p4.(3P).4d""","=""4D""","=""5/2""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L14821""",
W,1,"=""9018.33""","=""0.10""","=""9018.325""","=""0.073""","=""1""","=""""",,"=""4.273218""","=""5.647644""","=""""","=""""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153,L416""",
Cr,2,"=""9018.4563""","=""0.0008""","=""9018.4567""","=""0.0016""","=""12""","=""""",,"=""10.27594646""","=""11.65035206""","=""3d4.(5D).5s""","=""e 6D""","=""5/2""","=""3d4.(5D).5p""","=""6D*""","=""7/2""",,"=""""","=""L18847""",
Sn,1,"=""9018.7288""","=""0.0022""","=""9018.729""","=""0.003""","=""32""","=""""",,"=""5.41596913""","=""6.7903332""","=""5s2.5p.5d""","=""3F*""","=""2""","=""5s2.5p.5f""","=""1F""","=""3""",,"=""""","=""L3149,L7378""",
Fe,1,"=""9019.7463""","=""0.0024""","=""9019.7445""","=""0.0011""","=""148""","=""""",,"=""5.09954435""","=""6.47375371""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""1""",,"=""""","=""L11631""",
Fe,2,"=""9020.1597""","=""0.0005""","=""9020.1579""","=""0.0007""","=""130""","=""""",,"=""12.4913863""","=""13.8655327""","=""3d6.(3F2).5s""","=""e 2F""","=""5/2""","=""3d6.(3F2).5p""","=""2F*""","=""5/2""",,"=""""","=""L18349c139""",
V,1,"=""9021.125""","=""0.004""","=""9021.1232""","=""0.0019""","=""10000""","=""""",,"=""1.89331087""","=""3.26731020""","=""3d4.(3P2).4s""","=""b 4P""","=""3/2""","=""3d4.(5D).4p""","=""y 4D*""","=""5/2""",,"=""""","=""L15916""",
Fe,2,"=""9021.3306""","=""0.0004""","=""9021.3308""","=""0.0009""","=""140""","=""""",,"=""11.6636022""","=""13.0375699""","=""3d5.(4G).4s.4p.(3P*)""","=""w 4G*""","=""7/2""","=""3d6.(3F2).4d""","=""4G""","=""9/2""",,"=""""","=""L18349c139""",
Cr,1,"=""9021.5718""","=""0.0008""","=""9021.5725""","=""0.0005""","=""1500""","=""""",,"=""3.32301220""","=""4.69694311""","=""3d5.(6S).4p""","=""z 5P*""","=""1""","=""3d5.(6S).5s""","=""e 5S""","=""2""",,"=""""","=""L14866""",
Rb,2,"=""9021.768""","=""0.005""","=""9021.766""","=""0.006""","=""300""","=""""",,"=""23.3441025""","=""24.7180040""","=""4p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""4p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""",,"=""""","=""L2590""",
Ar,2,"=""9022.30""","=""0.02""","=""9022.3173""","=""0.0010""","=""0""","=""""",,"=""22.30870487""","=""23.682522355""","=""3s2.3p4.(1S).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""3/2""",,"=""""","=""L14821""",
I,1,"=""9022.35""","=""0.02""","=""9022.361""","=""0.006""","=""6000""","=""""",,"=""7.5501719""","=""8.9239828""","=""5s2.5p4.(3P<0>).6s""","=""2[0]""","=""1/2""","=""5s2.5p4.(3P<0>).6p""","=""2[1]*""","=""3/2""",,"=""""","=""L3674""",
V,1,"=""9022.734""","=""0.004""","=""9022.7369""","=""0.0020""","=""22000""","=""1.6e+05""",C+,"=""1.8925980""","=""3.26635156""","=""3d3.4s2""","=""a 2H""","=""11/2""","=""3d3.(4F).4s.4p.(3P*)""","=""z 2G*""","=""9/2""",,"=""T9399""","=""L15916""",
Fe,2,"=""9023.092""","=""0.010""","=""9023.0822""","=""0.0020""","=""1.8""","=""""",,"=""13.2685325""","=""14.6422335""","=""3d5.(2D3).4s.4p.(3P*)""","=""4D*""","=""5/2""","=""3d5.4p2""","=""4P""","=""5/2""",,"=""""","=""L18349c139""",
Ti,1,"=""9023.630""","=""0.010""","=""9023.629""","=""0.003""","=""22""","=""""",,"=""1.7393044""","=""3.1129222""","=""3d3.(4P).4s""","=""a 5P""","=""2""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""2""",,"=""""","=""L10989""",
W,1,"=""9023.80""","=""0.10""","=""9023.608""","=""0.073""","=""1*""","=""""",,"=""2.246202""","=""3.619823""","=""5d5.(4G).6s""","=""5G""","=""2""","=""5d4.6s.(6D).6p""","=""5D*""","=""2""",,"=""""","=""L153""",
W,1,"=""9023.80""","=""0.10""","=""9023.869""","=""0.073""","=""1*""","=""""",,"=""5.096311""","=""6.469892""","=""""","=""*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L153c23""",
Ti,3,"=""9024.05""","=""0.10""","=""9024.02+""","=""0.12""","=""0""","=""3.4e+06""",D,"=""19.656037""","=""21.029595""","=""3p6.3d.4f""","=""3F*""","=""2""","=""3p6.3d.5d""","=""3F""","=""2""",,"=""T1216""","=""L3593""",
Fe,1,"=""9024.3685""","=""0.0024""","=""9024.3691""","=""0.0011""","=""1120""","=""""",,"=""4.91297355""","=""6.28647868""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""5""",,"=""""","=""L11631""",
Fe,2,"=""9024.3686""","=""0.0005""","=""9024.3634""","=""0.0008""","=""230bl(Fe I)""","=""""",,"=""12.8906141""","=""14.2641201""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""7/2""","=""3d6.(5D).6d""","=""6P""","=""5/2""",,"=""""","=""L18349c148""",
Br,2,"=""9024.42""","=""0.10""","=""""","=""""","=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7392""",
Fe,1,"=""9024.7514""","=""0.0024""","=""9024.7512""","=""0.0011""","=""93""","=""""",,"=""4.99127081""","=""6.36471779""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""5""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""4""",,"=""""","=""L11631""",
F,1,"=""9025.49""","=""0.03""","=""9025.47+""","=""0.12""","=""350""","=""1.43e+07""",C+,"=""14.504588""","=""15.877925""","=""2s2.2p4.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p4.(3P).3d""","=""4D""","=""7/2""",,"=""T7043""","=""L7481""",
Kr,2,"=""9025.67""","=""0.10""","=""9025.59+""","=""0.08""","=""10hl""","=""""",,"=""17.2463964""","=""18.619715""","=""4s2.4p4.(3P).5p""","=""2P*""","=""1/2""","=""4s2.4p4.(1D).4d""","=""2D""","=""3/2""",,"=""""","=""L7386""",
Xe,1,"=""9025.98""","=""0.02""","=""9025.951+""","=""0.012""","=""30""","=""""",,"=""9.7893002""","=""11.1625646""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L4739""",
Th,1,"=""9026.004""","=""0.008""","=""9026.01315""","=""0.00005""","=""93""","=""""",,"=""0.3557427977""","=""1.728997759""","=""6d2.7s2""","=""3F""","=""3""","=""6d.7s2.7p""","=""3F*""","=""3""",,"=""""","=""L3552""",
Th,1,"=""9026.157""","=""0.008""","=""9026.1624""","=""0.0004""","=""93""","=""""",,"=""2.674963685""","=""4.04819594""","=""6d3.(2P).7s""","=""""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L3552""",
Fe,1,"=""9026.441""","=""0.016""","=""9026.4453""","=""0.0018""","=""29bl""","=""""",,"=""5.02027939""","=""6.39346861""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""0""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""1""",,"=""""","=""L11631""",
Th,1,"=""9026.6319""","=""0.0024""","=""9026.6326""","=""0.0003""","=""51""","=""""",,"=""2.79161383""","=""4.16477456""","=""6d4""","=""5D""","=""2""","=""6d3.7p""","=""5G*""","=""3""",,"=""""","=""L5951""",
Ti,1,"=""9027.012""","=""0.010""","=""9027.026""","=""0.003""","=""4""","=""""",,"=""2.3447140""","=""3.7178148""","=""3d3.(4P).4s""","=""c 3P""","=""2""","=""3d3.(4F).4p""","=""x 5D*""","=""3""",,"=""""","=""L10989""",
Cr,1,"=""9027.261""","=""0.010""","=""9027.260""","=""0.003""","=""2""","=""""",,"=""3.88866925""","=""5.2617345""","=""3d5.(4F).4s""","=""a 5F""","=""3""","=""3d4.(3P1).4s.4p.(3P*)""","=""x 5D*""","=""2""",,"=""""","=""L14866""",
Ti,1,"=""9027.325""","=""0.010""","=""9027.325""","=""0.003""","=""320""","=""""",,"=""1.7393044""","=""3.1123598""","=""3d3.(4P).4s""","=""a 5P""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""z 5S*""","=""2""",,"=""""","=""L10989""",
Ti,2,"=""9027.82""","=""0.02""","=""9027.8160""","=""0.0013""","=""0""","=""""",,"=""2.59768656""","=""3.97066729""","=""3d3""","=""b 2F""","=""5/2""","=""3d2.(3F).4p""","=""z 2D*""","=""5/2""",,"=""""","=""L5432""",
Cu,2,"=""9029.347""","=""0.008""","=""9029.343""","=""0.004""","=""300""","=""""",,"=""17.3218932""","=""18.6946417""","=""3d8.(3F).4s.4p.(1P*)""","=""3F*""","=""2""","=""3d9.(2D<5/2>).8s""","=""2[5/2]""","=""2""",,"=""""","=""L869c171""",
Fe,1,"=""9030.7123""","=""0.0024""","=""9030.7105""","=""0.0012""","=""58""","=""""",,"=""2.84504259""","=""4.21758325""","=""3d7.(4P).4s""","=""b 3P""","=""1""","=""3d7.(4F).4p""","=""y 5D*""","=""1""",,"=""""","=""L11631""",
Ar,2,"=""9031.35""","=""0.02""","=""9031.36194""","=""0.00025""","=""1""","=""""",,"=""23.438088809""","=""24.810530468""","=""3s2.3p4.(3P).5p""","=""4P*""","=""3/2""","=""3s2.3p4.(3P).6s""","=""4P""","=""1/2""",,"=""""","=""L14821""",
Hf,1,"=""9031.77""","=""0.04""","=""9031.719""","=""0.004""","=""20*""","=""""",,"=""2.8367909""","=""4.2091784""","=""5d3.(b 2G).6s""","=""a 3G""","=""3""","=""5d2.(a 3F).6s.(a 2F).6p""","=""x 3F*""","=""3""",,"=""""","=""L16323""",
Hf,1,"=""9031.77""","=""0.04""","=""9031.744""","=""0.016""","=""20*""","=""""",,"=""4.9331981""","=""6.305582""","=""5d2.(3F).6s.(a 4F).7s""","=""b 5F""","=""2""","=""5d3.(b 4P).6p""","=""w 5D*""","=""3""",,"=""""","=""L16323""",
Th,1,"=""9031.81885""","=""0.00016""","=""9031.81898""","=""0.00006""","=""990""","=""""",,"=""1.592945153""","=""2.965317362""","=""6d3.(4P).7s""","=""5P""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L18702""",
Xe,1,"=""9032.18""","=""0.02""","=""9032.160+""","=""0.012""","=""50""","=""""",,"=""9.8903766""","=""11.2626969""","=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""","=""5p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",,"=""""","=""L4739""",
Th,1,"=""9032.457""","=""0.008""","=""9032.47136""","=""0.00009""","=""140""","=""""",,"=""1.305125170""","=""2.677398258""","=""5f.6d.7s2""","=""3G*""","=""3""","=""6d3.(2F).7s""","=""1F""","=""3""",,"=""""","=""L3552""",
