element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,1,"=""9147.957""","=""0.003""","=""9147.9571""","=""0.0012""","=""195""","=""""",,"=""5.06378173""","=""6.41873101""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""3""",,"=""""","=""L11631""",
Cr,1,"=""9148.4142""","=""0.0017""","=""9148.4141""","=""0.0008""","=""41""","=""""",,"=""3.11278390""","=""4.46766550""","=""3d4.4s2""","=""a 3F""","=""3""","=""3d4.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""",,"=""""","=""L14866""",
Sc,2,"=""9148.671""","=""0.010""","=""9148.688""","=""0.010""","=""0""","=""""",,"=""8.239945""","=""9.594786""","=""3p6.3d.5p""","=""3F*""","=""2""","=""3p6.3d.6s""","=""3D""","=""3""",,"=""""","=""L5141""",
Ne,1,"=""9148.6720""","=""0.0010""","=""9148.6716""","=""0.0010""","=""12000""","=""6.02e+06""",B,"=""18.69335943""","=""20.04820289""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""",,"=""T6976""","=""L9097""",
Fe,1,"=""9149.524""","=""0.003""","=""9149.5219""","=""0.0012""","=""18""","=""""",,"=""5.00952178""","=""6.36423934""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""2""",,"=""""","=""L11631""",
O,1,"=""9150.14""","=""0.10""","=""9150.138+""","=""0.012""","=""80""","=""""",,"=""14.0472014""","=""15.4018277""","=""2s2.2p3.(2D*).3p""","=""3D""","=""1""","=""2s2.2p3.(2D*<5/2>).3d""","=""3F*""","=""2""",,"=""""","=""L3760""",
Cr,2,"=""9150.7168""","=""0.0005""","=""9150.7169""","=""0.0017""","=""23""","=""""",,"=""10.29581141""","=""11.65035206""","=""3d4.(5D).5s""","=""e 6D""","=""7/2""","=""3d4.(5D).5p""","=""6D*""","=""7/2""",,"=""""","=""L18847""",
Ar,2,"=""9150.82""","=""0.02""","=""9150.8105""","=""0.0005""","=""1""","=""4.5e+05""",E,"=""18.28805528""","=""19.64258207""","=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""4D*""","=""1/2""",,"=""T1600n""","=""L14821""",
O,1,"=""9151.48""","=""0.10""","=""9151.469+""","=""0.012""","=""80""","=""""",,"=""14.0467669""","=""15.4011962""","=""2s2.2p3.(2D*).3p""","=""3D""","=""3""","=""2s2.2p3.(2D*<5/2>).3d""","=""3F*""","=""3""",,"=""""","=""L3760""",
Ar,2,"=""9151.54""","=""0.02""","=""9151.5858""","=""0.0006""","=""0""","=""""",,"=""23.570177223""","=""24.92458926""","=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""","=""3s2.3p4.(3P).5d""","=""4P""","=""1/2""",,"=""""","=""L14821""",
F,1,"=""9151.78""","=""0.03""","=""9151.80+""","=""0.12""","=""1800""","=""1.04e+07""",C+,"=""14.526486""","=""15.880867""","=""2s2.2p4.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p4.(3P).3d""","=""4D""","=""5/2""",,"=""T7043""","=""L7481""",
Xe,1,"=""9152.12""","=""0.02""","=""9152.118+""","=""0.012""","=""20""","=""""",,"=""9.9170767""","=""11.2714099""","=""5p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",,"=""""","=""L4739""",
Th,1,"=""9152.7795""","=""0.0008""","=""9152.7752""","=""0.0003""","=""38*""","=""""",,"=""3.720932959""","=""5.07516899""","=""""","=""""","=""3""","=""""","=""*""","=""3 or 4""",,"=""""","=""L5951""",
Th,1,"=""9152.7795""","=""0.0008""","=""9152.78054""","=""0.00017""","=""38*""","=""""",,"=""2.360554170""","=""3.71478941""","=""6d.7s2.7p""","=""3P*""","=""2""","=""""","=""""","=""1""",,"=""""","=""L5951""",
Hf,1,"=""9153.000""","=""0.015""","=""9152.985""","=""0.005""","=""22""","=""""",,"=""2.7523389""","=""4.1065438""","=""5d3.(b 4P).6s""","=""a 5P""","=""3""","=""5d2.(a 3P).6s.(a 4P).6p""","=""z 5P*""","=""2""",,"=""""","=""L16323""",
P,1,"=""9153.34""","=""0.10""","=""""","=""""","=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
Th,1,"=""9153.3659""","=""0.0005""","=""9153.36590""","=""0.00008""","=""83""","=""""",,"=""1.716904709""","=""3.071053350""","=""6d3.(4F).7s""","=""3F""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
Na,1,"=""9153.88""","=""0.02""","=""9153.862""","=""0.017""","=""4*""","=""5.3e+05""",C',"=""3.61697081""","=""4.9710460""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.9f""","=""2F*""","=""7/2""",,"=""T817""","=""L6096""",
Na,1,"=""9153.88""","=""0.02""","=""9153.862""","=""0.017""","=""4*""","=""3.5e+04""",C',"=""3.61697081""","=""4.9710460""","=""2p6.3d""","=""2D""","=""5/2""","=""2p6.9f""","=""2F*""","=""5/2""",,"=""T817""","=""L6096""",
Cu,2,"=""9154.181""","=""0.018""","=""9154.160""","=""0.004""","=""170""","=""""",,"=""17.0122164""","=""18.3662476""","=""3d8.(1G).4s.4p.(3P*)""","=""3F*""","=""2""","=""3d9.(2D<3/2>).5g""","=""2[5/2]""","=""3""",,"=""""","=""L1408c171""",
Th,1,"=""9155.2964""","=""0.0004""","=""9155.29669""","=""0.00008""","=""120""","=""""",,"=""2.428647391""","=""3.782510451""","=""6d2.7s.7p""","=""5G*""","=""5""","=""""","=""""","=""5""",,"=""""","=""L5951""",
Fe,2,"=""9155.6458""","=""0.0012""","=""9155.6279""","=""0.0010""","=""7bl(Fe I)""","=""""",,"=""12.7557949""","=""14.1096090""","=""3d6.(5D<4>).4f""","=""2[4]*""","=""9/2""","=""3d6.(5D<2>).5g""","=""2[3]""","=""7/2""",,"=""""","=""L18349c148""",
Fe,1,"=""9155.647""","=""0.003""","=""9155.6472""","=""0.0012""","=""29""","=""""",,"=""5.09954435""","=""6.45335558""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,"=""""","=""L11631""",
