                                   count          mean           std           min           25%           50%           75%           max
matched_observations              1457.0  4.069938e+01  9.600049e+00  1.300000e+01  3.400000e+01  3.900000e+01  4.600000e+01  7.800000e+01
phot_g_n_obs                      1457.0  3.468449e+02  8.294794e+01  1.100000e+02  2.900000e+02  3.340000e+02  3.910000e+02  6.440000e+02
phot_g_mean_flux                  1457.0  2.494749e+05  2.402071e+06  5.306188e+02  2.172242e+03  7.194212e+03  4.609640e+04  7.909771e+07
phot_g_mean_flux_error            1457.0  1.068326e+02  1.320261e+03  8.714187e-01  2.104223e+00  4.682101e+00  1.646605e+01  4.771506e+04
phot_g_mean_flux_over_error       1457.0  1.969852e+03  1.557360e+03  1.112880e+02  8.684797e+02  1.440280e+03  2.584718e+03  1.030719e+04
phot_g_mean_mag                   1457.0  1.553910e+01  2.275949e+00  5.942956e+00  1.402920e+01  1.604591e+01  1.734610e+01  1.887641e+01
phot_bp_n_obs                     1457.0  3.593823e+01  1.040922e+01  0.000000e+00  3.000000e+01  3.500000e+01  4.200000e+01  7.600000e+01
phot_bp_mean_flux                 1446.0  1.609323e+05  1.766143e+06  8.854609e+01  6.235503e+02  2.820661e+03  2.143780e+04  5.947243e+07
phot_bp_mean_flux_error           1446.0  2.007225e+02  2.124665e+03  3.529647e+00  7.757158e+00  1.233480e+01  3.797674e+01  7.020118e+04
phot_bp_mean_flux_over_error      1446.0  3.908511e+02  4.083535e+02  7.572003e+00  7.497928e+01  2.233868e+02  6.029227e+02  2.417081e+03
phot_bp_mean_mag                  1446.0  1.626993e+01  2.616505e+00  5.915599e+00  1.452344e+01  1.672551e+01  1.836421e+01  2.048347e+01
phot_rp_n_obs                     1457.0  3.569252e+01  1.027387e+01  0.000000e+00  2.900000e+01  3.500000e+01  4.100000e+01  7.000000e+01
phot_rp_mean_flux                 1446.0  1.351459e+05  1.052666e+06  3.204378e+02  2.389298e+03  6.708071e+03  3.450897e+04  3.140607e+07
phot_rp_mean_flux_error           1446.0  1.859291e+02  1.657488e+03  3.924078e+00  8.775784e+00  1.482012e+01  4.429860e+01  5.115037e+04
phot_rp_mean_flux_over_error      1446.0  6.244552e+02  5.118217e+02  6.063387e+00  2.467338e+02  4.443272e+02  8.602066e+02  2.744539e+03
phot_rp_mean_mag                  1446.0  1.470780e+01  2.027900e+00  6.019386e+00  1.341709e+01  1.519543e+01  1.631625e+01  1.849756e+01
phot_bp_rp_excess_factor          1446.0  1.339685e+00  1.583719e-01  1.145020e+00  1.229463e+00  1.306615e+00  1.422133e+00  3.815737e+00
phot_proc_mode                    1457.0  9.540151e-02  3.053317e-01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.000000e+00
bp_rp                             1446.0  1.562135e+00  7.303000e-01 -1.513538e-01  9.927473e-01  1.415826e+00  2.175167e+00  3.686974e+00
bp_g                              1446.0  7.447627e-01  4.461105e-01 -9.147596e-01  3.862877e-01  6.330662e-01  1.089937e+00  2.259825e+00
g_rp                              1446.0  8.173729e-01  3.056910e-01 -9.706068e-02  5.890667e-01  8.149862e-01  1.087895e+00  1.818788e+00
radial_velocity                    112.0  2.354743e+01  1.821419e+01 -1.369665e+01  6.403623e+00  2.860486e+01  3.540785e+01  7.085163e+01
radial_velocity_error              112.0  2.810276e+00  2.930315e+00  1.469590e-01  1.171441e+00  1.812191e+00  3.204367e+00  1.636994e+01
rv_nb_transits                    1457.0  8.544955e-01  3.339033e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.300000e+01
rv_template_teff                   112.0  5.845982e+03  5.403179e+02  4.500000e+03  5.500000e+03  6.000000e+03  6.250000e+03  6.750000e+03
rv_template_logg                   112.0  3.754464e+00  4.977226e-01  3.000000e+00  3.500000e+00  3.500000e+00  4.500000e+00  4.500000e+00
rv_template_fe_h                   112.0 -2.901786e-02  2.006340e-01 -1.500000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
a                                 1457.0  2.370747e+02  3.239762e+00  2.271710e+02  2.348528e+02  2.368994e+02  2.390746e+02  2.466780e+02
b                                 1457.0 -7.131680e-01  3.189921e+00 -9.486177e+00 -2.749626e+00 -7.091936e-01  1.338127e+00  1.079142e+01
ecl_lon                           1457.0  1.205765e+02  4.475609e+00  1.053495e+02  1.174193e+02  1.207677e+02  1.234490e+02  1.351968e+02
ecl_lat                           1457.0 -4.256226e+01  3.155795e+00 -5.094750e+01 -4.497915e+01 -4.288915e+01 -4.034770e+01 -3.103884e+01
priam_flags                        993.0  1.000797e+05  3.887802e+02  1.000010e+05  1.000010e+05  1.000010e+05  1.000010e+05  1.020110e+05
teff_val                           993.0  5.164466e+03  1.174958e+03  3.354000e+03  4.266100e+03  4.983542e+03  5.765500e+03  9.717000e+03
teff_percentile_lower              993.0  4.971722e+03  1.145448e+03  3.197000e+03  4.102165e+03  4.854875e+03  5.520070e+03  9.614500e+03
teff_percentile_upper              993.0  5.454525e+03  1.191782e+03  3.641700e+03  4.564030e+03  5.140000e+03  6.010500e+03  9.804000e+03
a_g_val                            852.0  2.960396e-01  3.191597e-01  5.000000e-03  1.038000e-01  1.842500e-01  3.793000e-01  2.242500e+00
a_g_percentile_lower               852.0  1.580086e-01  2.550712e-01  0.000000e+00  1.230000e-02  5.360000e-02  1.908750e-01  1.857200e+00
a_g_percentile_upper               852.0  5.025541e-01  3.688532e-01  2.410000e-02  2.444500e-01  4.127500e-01  6.204000e-01  2.524400e+00
e_bp_min_rp_val                    852.0  1.478588e-01  1.589662e-01  2.000000e-03  5.137500e-02  9.215000e-02  1.850000e-01  1.110700e+00
e_bp_min_rp_percentile_lower       852.0  7.813369e-02  1.253750e-01  0.000000e+00  6.900000e-03  2.690000e-02  9.325000e-02  9.107000e-01
e_bp_min_rp_percentile_upper       852.0  2.503016e-01  1.837472e-01  1.500000e-02  1.242250e-01  2.103000e-01  3.098750e-01  1.252400e+00
flame_flags                        758.0  2.001110e+05  0.000000e+00  2.001110e+05  2.001110e+05  2.001110e+05  2.001110e+05  2.001110e+05
radius_val                         758.0  1.032257e+00  1.457255e+00  5.011656e-01  6.215133e-01  7.714624e-01  1.055680e+00  2.730921e+01
radius_percentile_lower            758.0  9.509385e-01  1.412067e+00  3.489917e-01  5.643932e-01  7.018880e-01  9.848921e-01  2.663482e+01
radius_percentile_upper            758.0  1.092850e+00  1.518092e+00  5.137631e-01  6.675790e-01  8.155104e-01  1.113720e+00  2.818921e+01
lum_val                            758.0  2.094857e+00  1.464009e+01  2.945267e-02  1.324537e-01  3.239626e-01  1.056643e+00  3.647544e+02
lum_percentile_lower               758.0  2.016144e+00  1.406698e+01  2.809334e-02  1.224303e-01  3.001764e-01  1.019095e+00  3.497485e+02
lum_percentile_upper               758.0  2.173574e+00  1.521380e+01  3.081199e-02  1.381481e-01  3.416854e-01  1.100855e+00  3.797603e+02
